ISIN,Name,Sector,Country
BRPOMOACNOR0,Marcopolo SA,52102020,BR
BRPRIOACNOR1,Petro Rio SA,50102020,BR
BRPSSAACNOR7,Porto Seguro SA,55301020,BR
BRQUALACNOR6,Qualicorp Consultoria e Corretora de Seguros SA,55301030,BR
BRRADLACNOR0,Raia Drogasil SA,54301010,BR
BRRAILACNOR9,Rumo SA,52405030,BR
BRRDCDACNOR3,Redecard SA,55101030,BR
BRRENTACNOR4,Localiza Rent a Car SA,52406020,BR
BRRSIDACNOR8,Rossi Residencial SA,60101010,BR
BRSANBCDAM13,Banco Santander Brasil SA,55101010,BR
BRSBSPACNOR5,Companhia de Saneamento Basico do Estado de Sao Pa,59103010,BR
BRSDIAACNPR1,Sadia SA,54102010,BR
BRSULAACNOR2,Sul America SA,55301030,BR
BRSUZBACNOR0,Suzano SA,51301020,BR
BRTAEEACNOR9,Transmissora Alianca de Energia Eletrica SA,59101010,BR
BRTAMMACNPR2,TAM SA,52406010,BR
BRTCSLACNPR7,Tim SA,58401010,BR
BRTIETACNOR0,nan,,
BRTIMPACNOR1,nan,,
BRTMARACNPA7,Telemar Norte Leste SA em Recuperacao Judicial,58401010,BR
BRTMCPACNPR1,Telemig Celular Participacoes SA,58401020,BR
BRTNLPACNOR3,Tele Norte Leste Participacoes SA,58401010,BR
BRTNLPACNPR0,Tele Norte Leste Participacoes SA,58401010,BR
BRTOTSACNOR8,Totvs SA,57201020,BR
BRTRPLACNOR4,CTEEP Companhia de Transmissao de Energia Eletrica,59101010,BR
BRUBBRCDAM14,Unibanco Union of Brazilian Banks SA,55101010,BR
BRUGPAACNOR8,Ultrapar Participacoes SA,50102030,BR
BRUGPAACNOR8,Ultrapar Participacoes SA,50102030,BR
BRUSIMACNOR3,Usinas Siderurgicas de Minas Gerais SA USIMINAS,51201020,BR
BRUSIMACNOR3,Usinas Siderurgicas de Minas Gerais SA USIMINAS,51201020,BR
BRVALEACNOR0,Vale SA,51201020,BR
BRVALEACNOR0,Vale SA,51201020,BR
BRVCPAACNPR2,Fibria Celulose SA,51301020,BR
BRVIVOACNPR8,Vivo Participacoes SA,58401020,BR
BRVIVTACNOR0,Telefonica Brasil SA,58401010,BR
BRVVARACNOR1,Via Varejo SA,53403050,BR
BRWEGEACNOR0,WEG SA,52102030,BR
BRWEGEACNOR0,WEG SA,52102030,BR
CA00208D4084,ARC Resources Ltd,50102020,CA
CA0039241074,Abitibi Consolidated Inc,51301020,CA
CA00440P4096,ACE Aviation Holdings Inc,52406010,CA
